"","x"
"1",2
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",2
"10",1
"11",2
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",2
"20",1
"21",1
"22",1
"23",2
"24",1
"25",1
"26",1
"27",1
"28",2
"29",2
"30",2
"31",2
"32",1
"33",2
"34",1
"35",2
"36",2
"37",2
"38",2
"39",2
"40",2
"41",1
"42",2
"43",2
"44",2
"45",1
"46",1
"47",2
"48",2
"49",2
"50",1
"51",1
"52",2
"53",2
"54",1
"55",1
"56",1
"57",1
"58",1
"59",2
"60",2
"61",2
"62",1
"63",1
"64",2
"65",2
"66",2
"67",2
"68",2
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",2
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",2
"89",2
"90",1
"91",2
"92",2
"93",2
"94",2
"95",2
"96",2
"97",2
"98",2
"99",2
"100",2
"101",2
"102",2
"103",2
"104",2
"105",2
"106",2
"107",2
"108",2
"109",2
"110",2
"111",2
"112",2
"113",2
"114",2
"115",2
"116",2
"117",2
"118",2
"119",2
"120",2
"121",1
"122",2
"123",2
"124",1
"125",1
"126",1
"127",1
"128",1
"129",2
"130",1
"131",1
"132",1
"133",1
"134",1
"135",2
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",1
"151",2
"152",2
"153",1
"154",1
"155",1
"156",2
"157",1
"158",2
"159",1
"160",1
"161",1
"162",1
"163",2
"164",2
"165",2
"166",2
"167",2
"168",2
"169",2
"170",2
"171",2
"172",1
"173",1
"174",1
